product_id,product_name,manufacturer_id,category,unit_cost,unit_price,sku,is_active
40,"Air Conditioner",39,"Home Appliances",350,699,"AC-040",true
41,"Water Heater",40,"Home Appliances",150,299,"WH-041",true
42,"Electric Kettle",41,"Home Appliances",20,45,"EK-042",true
43,"Food Processor",42,"Home Appliances",55,119,"FP-043",true
44,"Stand Mixer",43,"Home Appliances",90,199,"SM-044",true
45,"Pressure Cooker",44,"Home Appliances",40,89,"PC-045",true
46,"Rice Cooker",45,"Home Appliances",25,59,"RC-046",true
47,"Slow Cooker",46,"Home Appliances",30,69,"SC-047",true
48,"Juicer",47,"Home Appliances",35,79,"J-048",true
49,"Ice Maker",48,"Home Appliances",100,219,"IM-049",true
50,"Dehumidifier",49,"Home Appliances",80,169,"DH-050",true
51,"Office Chair",50,"Furniture",75,159,"OC-051",true
52,"Desk Executive",51,"Furniture",120,249,"DE-052",true
53,"Bookshelf",52,"Furniture",40,89,"BS-053",true
54,"Filing Cabinet",53,"Furniture",50,109,"FC-054",true
55,"Conference Table",54,"Furniture",200,399,"CT-055",true
56,"Reception Desk",55,"Furniture",150,299,"RD-056",true
57,"Ergonomic Chair",56,"Furniture",100,219,"EC-057",true
58,"Standing Desk",57,"Furniture",180,349,"SD-058",true
59,"Office Lamp",58,"Furniture",25,55,"OL-059",true
60,"Monitor Stand",59,"Furniture",15,35,"MS-060",true
61,"Keyboard Tray",60,"Furniture",20,45,"KT-061",true
62,"Desk Organizer",61,"Office Supplies",10,25,"DO-062",true
63,"Stapler",62,"Office Supplies",5,12,"S-063",true
64,"Paper Shredder",63,"Office Supplies",40,89,"PS-064",true
65,"Calculator",64,"Office Supplies",8,19,"C-065",true
66,"Printer",65,"Office Supplies",80,169,"P-066",true
67,"Scanner",66,"Office Supplies",60,129,"S-067",true
68,"Label Maker",67,"Office Supplies",25,59,"LM-068",true
69,"Whiteboard",68,"Office Supplies",30,69,"W-069",true
70,"Projector",69,"Office Supplies",200,399,"P-070",true
71,"Binding Machine",70,"Office Supplies",45,99,"BM-071",true
72,"Laminator",71,"Office Supplies",35,79,"L-072",true
73,"Paper Cutter",72,"Office Supplies",20,45,"PC-073",true
74,"Hole Punch",73,"Office Supplies",8,18,"HP-074",true
75,"Staple Remover",74,"Office Supplies",2,5,"SR-075",true
76,"Desk Calendar",75,"Office Supplies",5,12,"DC-076",true
77,"Pen Set",76,"Office Supplies",8,19,"PS-077",true
78,"Notebook",77,"Office Supplies",3,8,"N-078",true
79,"File Folders",78,"Office Supplies",4,10,"FF-079",true
80,"Binder",79,"Office Supplies",6,14,"B-080",true
81,"T-shirt Cotton",80,"Clothing",8,19,"TSC-081",true
82,"Jeans Denim",81,"Clothing",15,35,"JD-082",true
83,"Sneakers",82,"Footwear",25,59,"S-083",true
84,"Dress Shirt",83,"Clothing",20,45,"DS-084",true
85,"Winter Jacket",84,"Clothing",45,99,"WJ-085",true
86,"Baseball Cap",85,"Clothing",6,15,"BC-086",true
87,"Running Shoes",86,"Footwear",30,69,"RS-087",true
88,"Backpack",87,"Accessories",25,59,"B-088",true
89,"Wallet",88,"Accessories",12,29,"W-089",true
90,"Sunglasses",89,"Accessories",15,35,"S-090",true
91,"Watch Leather",90,"Accessories",50,119,"WL-091",true
92,"Belt",91,"Accessories",10,24,"B-092",true
93,"Handbag",92,"Accessories",35,79,"H-093",true
94,"Scarf",93,"Accessories",8,19,"S-094",true
95,"Gloves",94,"Accessories",6,15,"G-095",true
96,"Umbrella",95,"Accessories",12,29,"U-096",true
97,"Luggage Set",96,"Accessories",80,169,"LS-097",true
98,"Tie Silk",97,"Accessories",15,35,"TS-098",true
99,"Socks Pack",98,"Clothing",5,12,"SP-099",true
100,"Underwear Pack",99,"Clothing",8,19,"UP-100",true
