sale_id,customer_id,sale_date,total_amount,status,payment_method,invoice_number
80,81,"2024-06-11",798.00,"Completed","Credit Card","INV-2024-0080"
81,82,"2024-06-13",998.00,"Completed","Bank Transfer","INV-2024-0081"
82,83,"2024-06-15",398.00,"Completed","Credit Card","INV-2024-0082"
83,84,"2024-06-17",1598.00,"Completed","Credit Card","INV-2024-0083"
84,85,"2024-06-19",698.00,"Completed","PayPal","INV-2024-0084"
85,86,"2024-06-21",1198.00,"Completed","Credit Card","INV-2024-0085"
86,87,"2024-06-23",898.00,"Completed","Bank Transfer","INV-2024-0086"
87,88,"2024-06-25",498.00,"Completed","Credit Card","INV-2024-0087"
88,89,"2024-06-27",298.00,"Completed","Credit Card","INV-2024-0088"
89,90,"2024-06-29",798.00,"Completed","PayPal","INV-2024-0089"
90,91,"2024-07-01",998.00,"Completed","Credit Card","INV-2024-0090"
91,92,"2024-07-03",398.00,"Completed","Bank Transfer","INV-2024-0091"
92,93,"2024-07-05",1598.00,"Completed","Credit Card","INV-2024-0092"
93,94,"2024-07-07",698.00,"Completed","Credit Card","INV-2024-0093"
94,95,"2024-07-09",1198.00,"Completed","PayPal","INV-2024-0094"
95,96,"2024-07-11",898.00,"Completed","Credit Card","INV-2024-0095"
96,97,"2024-07-13",498.00,"Completed","Bank Transfer","INV-2024-0096"
97,98,"2024-07-15",298.00,"Completed","Credit Card","INV-2024-0097"
98,99,"2024-07-17",798.00,"Completed","Credit Card","INV-2024-0098"
99,100,"2024-07-19",998.00,"Completed","PayPal","INV-2024-0099"
100,1,"2024-07-21",398.00,"Completed","Credit Card","INV-2024-0100"
